Address,FLAG,Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Unique Received From Addresses,min value received,max value received ,avg val received,min val sent,avg val sent,total transactions (including tnx to create contract,total ether received,total ether balance
0x97c3a67f32bdcc7341f95b88c3e9fbd919eda0d,0,52.16,1091.31,310057.77,4,0.009118,4.132,1.230165,0.24111,1.274417,940,26.6225782,-13150.8901
0x1b91f54da4c40b399cdbb1d9e7a8a8d18683cdb6,0,21.33,0,64.08,1,101,101,101,0.102522,33.666149,4,101,0.001554
0x0c9705bb179e4e27298ab3ed0d2ec058144436e7c8b7,0,163.78,0,315.78,1,101,101,101,0.01,50.499508,3,101,0.000984218
0xa1b4a3b287af39f0055e5d32f2cc4b729055354393758cc,0,160.6,0,127.35,1,101,101,101,0.999147,50.499508,3,101,0.000984218
0xe440204d67cf9609b27ec018f2aa4aec549e1671ba,0,161.5,0.63,325.23,2,21.871422,64.6678405,50.5,3.68154,50.499508,4,101,0.00150753
0x7be7000f33F2d29bb4447E5470399c1D3A088B532F0cCCe613d,0,19.09,0,8.72,2,378.72509,84.77165,33.666667,1.966,33.666149,5,101,0.001554
0x34b931d3c719d7b8a22304af94a8f7b7584b6d612aeba,0,9275.85,0,569138.43,1,0.955565,0.001,0.0017046,0,0,2,0.00830017,0.000953416
0x00ed02d60x6ce985a15d13d1caf294bf5376309f23a10,0,160.96,0,1.78,2,933.939594,1624.381305,1000.5,0.1,666.999528,5,2001,0.001414909
0x306daa13f02ba5e93a2ba3917ad911ed5baef7eac,0,162.05,0,321.82,1,101,101,101,0.001,50.499508,3,101,0.000984218
0xa5a2e11018dfb20aab8b3a54c83992bcdb10e0f6b73,0,21.2,0,31.17,1,101,101,101,0.2,33.666163,4,101,0.001512
0x0b0bc2c5dc218a62a792fb6e36c384f9e30ee17e98386b5813,0,645.11,0,1279623.98,2,0.002,0,0,0,0,3,0,0
0xaeebf44bea449cbb0cabb7fda2c01b908f752f76d15,0,159.52,0,312.95,1,101,101,101,0.038,50.499508,3,101,0.000984218
0xcc705e741fa7f7a2084ee96ca08cd1d9848fe64c28,0,165.22,0.01,1.61032,2,4902.94251,1439.30556,1000.5,0.610145,666.999528,5,2001,0.001414909
0xba673257dbee155a61a9dd00278fd663c2b3ef97f7b06f,0,162.58,0,330.2,1,101,101,101,0.2,50.499508,3,101,0.000984218
0xe4dd264abd3e69efae37cd8a9f83f04db20be7e451,0,163.76,0,315.78,1,101,101,101,10,50.499508,3,101,0.000984218
0x9f0ca3be086aa55c4f2f4868a6be69c24902b3e144d2,0,168.18,0,327.67,1,101,101,101,0.001,33.666171,4,101,0.001488218
0x4d70d922578411eccb87ce02cf5cb77098e33e2fd90f825,0,5804.98,31264.48,640536.68,5,0.014559,13.378,2.770424,0,2.54632,40,135.6022195,0.029459
0x48e1479340bad4a4bbce5ca5f10e111a5b7afc58ef413,0,17.2,17481.76,1705365.47,3,0,0.250031,0.78617,0,9.150637,70,4.14776128,0.1302056
0xcb76d50e2ef0b6c7a4cd61be65053ee9cca3fcc694,0,524.78,950.24,286262.48,4,0.001,20,1.414273,0,2.460674,19,161.3041881,-1053.420108
0xdc25cb7768209ac26df30e3ac1559d2890e337a4,0,14.03,0,4.9,2,0.620989,97.610551,50.5,0.1,33.666165,5,101,0.001506437
0xc4d9d0218880d8cc008488a792b212e2e855cc06,0,162.18,1.5,318.42,2,1.961474,551.462423,50.5,7.5,50.499508,4,101,0.000984218
0x00dbcf6a776e3c2f0e5905180a4fae77f13f1d87606a1,0,1638.1,159.22,1149781.78,2,0.02,1300,18.601087,0,6.80476,18,360.511,0.02986025
0xb3da7f5ead4df46677eac6cb75784c8faa94a6cfeb8,0,48144.71,1432.83,564485.13,3,0.005909,51,15.275282,0,0.722001,10,16.0299731,0.02
0x8faba2e1110d25d0aa1dc4d09b330ea3cc789c30c3,0,22.61,0,56.53,1,101,101,101,4,33.666149,4,101,0.001554
0xacaf468ee89c94a0041ad0af240f024b48d3ac1bf41ce99,0,22.79,0,68.3,1,101,101,101,1,33.666149,4,101,0.001554
0xbdffa39729df1f63ab486cdedfb3c1e202796d806c04ad,0,15.99,0,52.85,1,101,101,101,6,33.666149,4,101,0.001554
0xab96c453171366c0b6bb2013a24d506ba7a360402c,0,22.27,0,66.78,1,101,101,101,0.1,33.666149,4,101,0.001554
0x109cab07af1404107f2fab669a65925bc75da4508,0,21.69,0,64.9,1,101,101,101,0.1,33.666149,4,101,0.001554
0xa80d0d22a35b4db3ed20c1fded335d9556d32822b,0,162.63,0,323.02,1,101,101,101,6,50.499508,3,101,0.000984218
0x5bc108ea4886efb9c6207dd6e7f535abeae37ef4fce,0,155.41,0,110.1,1,101,101,101,9.999424,50.499508,3,101,0.000984218
0x0b01363c65410ccb3d9fdb728b2f5dcc8efddb09c4,0,159.51,0,38.42,1,101,101,101,0.7738683,50.499508,3,101,0.000984218
0x6e7dcf29034ec1260dae3bfcfa8bf6a3e291d7419e4c,0,3.72,0.27,89.72,2,40.348863,83.92975,50.5,0.2184,33.666149,5,101,0.001554
0x626a6aebdf2770a33dccc13ad7db85d8a2e7ccb2d7ee8,0,2.22,0,8.92,2,442.166923,100.249528,1000.5,1,666.999528,5,2001,0.001414909
0x3ef5c5c0c1fa0c30afcb257c65fa773facdf92fbf5cc,0,13240.69,466.56,861318.98,11,0,2.5,0.6175976,0,0,136,16.24319794,125.6521387
0x40c81d6cc09871a5a8b9c1d1afabf7be8b873a65a580a3,0,164.74,0.82,326.65,2,46.1748802,90.893623,50.5,4.716933,50.499487,4,101,0.001026218
0x0c202f4afaabe58d7d1e0eb35956c13681dddebfcfaeb2be,0,5292.54,1057.69,27746.95,3,0.2,3.2,0.666667,0,6.931076,18,25.53777153,22.483364
0xe5f70913002086aa6c7bc166d6f2ef26c1954aba,0,24.71,60150.33,203263.27,1,0,0.101291,3.18888,0.711541,0.293893,3,16.15212007,0.02555
0xc8d957d924e3e6f04a9d467b5823bdaae5ad07f0c,0,16.08,5.998953,474.69,14,0.1,1.865,0.85899675,0.00046,2.430297,13,11.005154,0.02613673
0xc7caed158c36d4b9fe767b70a7a819ef771a7a64e,0,2751.17,62962.35,450885.1,4,0.095,8.47503,0.1485313,0,2.850204,15,528.487794,-0.067411639
0x7d1f422aef4bb6f2beab2d22667a5a7d73627fd53f1dccbe,0,2.75,7486.13,32804.78,2,0.020081,3.398131,3.950122,0,10.6974385,100,10.09404696,0.10395498
0x5b3f967bd11a3eec29e3bfa9a38b087b3fb2dea1cd8b357785086,0,15857.93,2809.09,63989.12,14,0.0998,63,13.140069,0,3.525679,75,2098.63654,253.5402018
0xaa30ed20bbfd397a73d8031d745ab10f3e547e2ad7b5a484b0bb617,0,165.28,229.38,47559.53,5,6.711537,1.250996,0.40577,0.499133,31.79195,240,17768.05834,1.0768856
0x409f3e9e4659a3878d7eec92895b2749bfc817c8aa70,0,444.83,21801.24,23593.25,2,1,69,9.93,1.011072,5.00298,8,59.58,-2.2876748
0xe35efa3aa0e9d5609052743ae3e69d987e6f336dbf8,0,1910.45,0,22260.67,1,0.01,0.025,0.0007,0,0.001044,9,0.085,0.01918957
0xb55e8e1ca87621013ea12804d9ab6daf9670383ab60c,0,2878,2929.5,375311.76,8,0.196107,5,1.520528,0.001038,0.040123,11,3.9461523,0.00525994
0x94d5ca51a41b80a8cb627a45218c5bf2a29b61ef5b9,0,17344.48,39501.26,452013.53,5,0,7.732801,1.090165,0,1.420335,38,5.4456761,366.939139
0xc6d82da335c3df78cfc59301a3d6e4c1d1c0f80d2,0,3497.37,34011.76,174219.97,7,0.0002,0.0156833,0.221095,0,61.643856,24,3172.547591,0.19073761
0xa13bacf35fb712b01a06ee031155a281301f283f4a673ec9,0,27572.28,32827.37,442563.5,22,0.00519,10,4.681,0,0.223025,47,8670.070325,0.013616
0x7df5009220d46cb3a220de07490d8d9b62bc7de1c,0,162.04,0.52,326.97,2,4.142804,50.01461,50.5,0.01,50.499508,4,101,0.000984218
0xd3444afca5531a0b7d0b3efba4c3d964cf454cc4df,0,2.77,0,9.42,2,411.60024,1057.687744,1000.5,0.639662,666.999528,5,2001,0.001414909
0xb96ae2f102651e55e039debe09aa3abe1cc3044188b9,0,173.68,4664.54,390707.1,3,1,10,3.9,0.99977,2.42355,13,12.91,0.007704022
0x79c6148fe73ee0f33ad63031810802ec5f03d0efa,0,7936.09,2442.06,89635.07,6,0.580346,1200,11.291416,0,0.258209,108,97.0382,112.32608
0xa68fe7c8f4be7e35f7f084d4f47e8d8dfa318dbb,0,2338.72,0,8781.72,1,2.084104,0.99042,0.208982,0.504018,0.539139,3,0.2705256,0.0430079
0xbeede3bb14b38ae50662a93dd99a3420b3dbc36d3b213,0,2152.95,54503.15,501799.45,4,0.74434,76,6.03313,1,19.12603,22,12.10304682,0.00106675
0x72eb874980f9d05cabc34cdf711a0a15c8afdbc8e734d,0,9.23,5013.503,45270.15,9,0.209041,5.09,0.544881,0.000238,3.257393,24,9.117875086,0.001662097
0x025f418bd985a5d545d1D8c1BF7f20ed7f975B9aA0A0698,0,1126.12,6890.61,114826.33,16,0.006,4.99,1.28,0.004,1.172108,160,291.328771,-2365.799999
0x38d2f4afca9043873074fdb8dafd01ff4b096aa25f,0,8645.28,2281.01,374095.68,1,0.195136,15,1.158508,0,0.452565,28,8.00499921,0.0181748
0x94b4679a26c64921c42f961cfb314f6a6e129d08f74076b10d0a014bbb,0,7841.9,4051.99,86090.9,3,0.01,4.995,2.993534,0,12.410139,22,3.8608058,-9.424061
0x8c36bb62823abf7c52e9ea652d09dc81794d4078cbca0e671a30c6b4f7628aad,0,725.9,207.88,29522.53,2,0.0001,4,2.228277878,0.518083,0.239627,18,10.6374684,0.001602553
0xac9d18ebd8ddc134f4c15b5cc32bc6c636056b5960de658,0,2.06,1905.21,47020.62,4,0.000456,0.53972,0.2566522,0,0.809638,1078,90.77670276,0.287302
0x200eae185e9f135fc426f119fff45b6f4c80a4d2e66b0,0,455.46,20.42,757850.98,25,0.049008,14.23,2.2026437,1.51307,47.9601,22,80706.76331,-4.00262
0x68ae29cc1f27ff88abc5a09a56b2bdaf60e6ebbc7,0,536.44,314.46,651674.7,4,0.103511,90,0.618255,0,0.92132,10000,20320.17544,232.720981
0x33c46f3ebd676ce2be72f9cb956cb062ba1d1dc57d4f72,0,3842.79,6527.15,31544.45,8,0.009514,37.155,7.199117,0,0.99718,221,1325.775761,-4.2267108
0x10ceb9e5aef0f7b6e0e077f9bacfda0fd7bba79ae1eaf1,0,2930.96,1122.93,2192.87,7,0.052172,1.00031,0.199602,0.006062,0.370408,104,19.45582867,0.018709801
0xc5ef963a3ee3f6aab7a67b45cae87ce30b4b51bc7c5ad0b065b,0,9057.57,7195.82,858169.12,3,0.003,2.22555,1.060257,0,0.060006,20,22.084796,1.0001018
0x26f7230e7a640e4dd298aa1b5a9cde3ab0bd96c39f2f9,0,870.41,0,44.35,1,101,101,101,0.44,33.666149,4,101,0.001554
0x0ff3561f281d5ab00acbd1ecf3bf3aaad4c76312ccaa725,0,21.63,0,65.03,1,101,101,101,0.99895,33.666149,4,101,0.001554
0x40dcb51b3a1661dfb9e57e6e8efeb8cce8cd8e1d94d6,0,22.62,0,67.87,1,101,101,101,0.04,33.666149,4,101,0.001554
0x00cc3b5950a0b4c4ed6fa6ee75ddd4c5bd575ac176a6d,0,159.58,0,321.5,1,101,101,101,0.01,50.499508,3,101,0.000984218
0xba5ad63c840f00b0cf5cbd1627f20ab4dea0B43A0B25B44e9b2ba2491,0,24.02,0,76.82,1,101,101,101,1.985731,33.666149,4,101,0.001554
0x56e3de01892cd345b7a91a1f6d46afd844c915ed58,0,157.07,0,1019.98,1,101,101,101,0.01,33.666149,4,101,0.001554
0x15c3e71e6925c524ea1b8507da071f3f740d48697c,0,163.76,0,315.78,1,101,101,101,0.005,50.499508,3,101,0.000984218
0xc0f4de51b63edc570277faf58a16724cc727b8c11b,0,161.01,0,327.38,1,101,101,101,0.0025,50.499508,3,101,0.000984218
0x6f67d4105cedcecc42bd60be4436b803f86d418,0,4481.17,2823.89,2303775.07,4,0.2,65,47.6443,0,0.95358597,14,65543.53,-216.29
0x6d1db8de28c5de7904d2c58d6fbd9abfedd4b84d0,0,23.81,0,9.72,2,912.220604,1445.457686,1000.5,2,666.999528,5,2001,0.001414909
0x3e6f376baf600d927e24cb8e72fcf239cf0c2a8ca,0,25.33,0,75.27,2,99.204533,66.228817,50.5,0.102522,33.666149,5,101,0.001554
0x016f9fda99acef178a506a6768e1fde2c9e6d38c0f,0,159.43,0.5,320.3,2,31.910448,78.850267,50.5,1,50.499508,4,101,0.000984218
0x1d0e05dbcfaedd5a72459099cfa5896efd8d6a7bc400,0,23.89,0.12,5.08,2,26.04607722,83.92934,50.5,0.009302,33.666149,5,101,0.001554
0x80da06411aabf6bc54494d9c825fd6c9773da1bd944,0,24.43,16.29,78.37,2,4.802351,66.990612,50.5,0.08,33.666159,5,101,0.001523001
0xc9f2cdd6a751b627eba7b435bd924c0b885cbb5f894,0,477.06,1573.29,389213.23,3,0.059434,27.962,3.453425,0.0187434,0.455572,13,274.239942,0.008420494
0x770170390c00c87244d60af12a26c9c64d85da111d0,0,22.22,0,64.08,1,101,101,101,1,33.666149,4,101,0.001554
0x7ac8d1a01e79fa49801da864f77fa57f637800d4,0,2486.23,0,43519.82,1,0.3,0.2,0.1,0,0.449647,3,0.6,0.1
0xa8d30e30d40e12c7a815d5f323b9a0c3a52f890,0,108.62,0,67.38,1,101,101,101,0.21,33.666149,4,101,0.001554
0x3e5b2a080a38b59c17026b0c19c59c13eca49d3,0,163.66,0,62.05,1,101,101,101,5,50.499286,3,101,0.001428506
0x5f5f910d5ef84a34b48f6094628ce4e4fd495f50a,0,20.98,0,65.32,1,101,101,101,10.2,33.666149,4,101,0.001554
0x2a48615c4178d96dce7ad6f2b97ba776457c19c7f53aca6b2b4af9579163a0,0,21.21,0,63.8,1,101,101,101,4,33.666149,4,101,0.001554
0x7c00dcc36c78eaca16b4b8ec8df1fee6cb3b9570de506304fe,0,57772.42,11992.67,90681.58,2,0.2528,29.99,122.49876,0.120149,3.5156345,20,12.7869,0.000462
0xbfcaa6669f5344bdf65a767b8c40c131c024100a63,0,646.37,109324.8,399742.6,2,11.569127,0.998502,0.1025803,1,0.406882,15,2.16669108,0.001477897
0xa77ae3014875ace5113d6f8fa92d8101b17dc2ea,0,17.56,0,750.22,1,101,101,101,0.4,33.666149,4,101,0.001554
0xa635caed5eeb3d34b581d5ee748f06c6d3fb90f97,0,157.6,0,315.2,1,101,101,101,25,50.499508,3,101,0.000984218
0x0045d5f978a282546b604fdb293bf2d40369d0f61d06,0,21.22,0,67.48,1,101,101,101,0.013,33.666149,4,101,0.001554
0xcae68ab95409b8a29f429c47bc65e7f861efa09a,0,18.77,0,107.38,1,101,101,101,0.28,33.666163,4,101,0.001512
0x28ab420fac19049cb45c4f1f72aebf4ce0f0ae9,0,4277.75,4074.75,102.5,2,0.001414,20.6,40.99,0.2704688,1.808964,19,12.49,0.00201
0x67b62afa057bf9019404b8ff8788d0577f1c194e22b27f3676,0,16.33,1645.19,98061.75,7,0.004724,5,33.3713001,4.902629,1.809485,33,33.903,0.00106149
0xa5a3fa632ab5b0e5b06ac64cfcbb66c4be2ae845,0,22.26,0,36.82,1,101,101,101,0.99895,33.666149,4,101,0.001554
0xa0d8b9ffe440ecbc0000b016f19d6cf683ee05aebf43f58e1edd1d698cfd,0,5.84,4.1,73.22,2,634.22154,67.53121,50.5,0.01,25.249496,6,101,0.002016
0x35c910f7c6ee5e48721bc8ad18a4236a0f607ae17,0,163.77,0,327.55,1,101,101,101,0.2,50.499508,3,101,0.000984218
0xac09439e5f319d203aaf68a7f8942f1ba5a6d400c,0,105.7,0,322.87,1,101,101,101,0.330486,50.499493,4,101,0.001026218
0x42b586bb817314b8c33ef6e16ad2d3cf01f937dd61ac,0,19.62,0,45.22,2,761.42553,1188.779947,1000.5,0.499009,666.999528,5,2001,0.001414909
0xfd7bef484c3cc9818c28df9cf7ba0099373f6dbfb,0,5371.68,3460.45,8351.55,5,0.01096,16.1,2.152176,0.111113,1.901001,155,40.67492487,0.009363058
0xbedbd3f61fc2cab245f71b0a4a1cc0f6d62cbc2d5,0,162.05,0.84,318.78,4,1,0,0,0,0,18,0,0
0x3ad82c4c02fcd5ac36d636cb550f0cd0010aea424be,0,4.39,0,9.98,1,101,101,101,0.4,33.666149,4,101,0.001554
0xa35806d5d7f92dcbdc659ebd5b8a8a12bd00a2147100,0,6.22,0,69.63,1,101,101,101,0.01995,33.666149,4,101,0.001554
0xc3644a23bd08cb4e7d2edc6a0c1d2feddb9e163db49,0,1914.5495,173668,945354.78,11,0.06,0.608,0.218283,0.25204,68.109925,89,771.950119,0.0092221
0xE15aFdbf5e1092c10F5D345bAA41A8Ea6a32Fd566C5,0,5.86,19.51808,34031.65,6,0.022909,20,1.001114,0,0.876386,39,42.3661285,0.02020992
0xcce16db91a173c09fe1e6c14d5fea1a22ba5309c71,0,1.91,1787.28,102101.95,10,0.0005557,23.20302,40.944094,0,7.102593,516,507.9935052,-2734.309255
0x56f86b58d2fa9cda5007cddbe605110f3c31475807,0,476.87,18546.68,32872.52,4,3.50017,0.3,0.101611,0.999041,2.910331,90,233.700166,0.03177776
0x92f357e9e021df8b44dfb0b7c7cc3efa85e75a15a9,0,8.16,110137.5,2290108.02,2,0.070075,2.870779,0.170457,0.067723,0.130667,74,13.1552392,0.08700656
0x76c9041ea82d519de3bc83603f6f605d4a8a1ad2c80b,0,162.55,0,323.02,1,101,101,101,6,50.499508,3,101,0.000984218
0x1ceea770862d9d94eecf78f1ab54a6f2bbd6e8f4b4,0,16.26,0.03,55.795762,1,101,101,101,1.2,50.499508,3,101,0.000984218
0x4d999ce1e45b312e40e6ee2cb21358e0bd78e8c5d702b,0,27396.33,1.07,370148.28,2,0.01,0.4,0.5,0,0.001149,15,2,0.001
0x1dff7f637bd360233e259c5745cbdde5f6b03a082a5838c1be,0,7.39,0,330.05,1,101,101,101,1,33.666149,4,101,0.001554
0xea7227db036e39c5aadad9b3dfec804af73efd76d5c81f0,0,109.48,0,51.95,1,101,101,101,4.01,33.666149,4,101,0.001554
0xab26fb1c31aa0209da5dab90bc8baea9a8b94bb529951d33,0,159.58,0,324.7,1,101,101,101,0.093,50.499508,3,101,0.000984218
0x074bc1bf3bd267d702db68b8d2d3240a1a30c9a5da9f74791df,0,163.78,0,327.55,1,101,101,101,10.1,50.499508,3,101,0.000984218
0x82a4de300c76e884a7a1db251b4765bc3a4c1c5ac002,0,158.78,0.33,331.93,2,9.975509,75.060748,50.5,4.5,50.499508,4,101,0.000984218
0x14ef9cdd5a7f3c522fda9deedf87f58685f080c4d81d5,0,159.17,0.65,324.59,3,8.768718,865.072304,50.5,1,50.499508,6,101,0.000984218
0x560644b0980300b31f76fb1bc75d061288f2cddff2f76ed0bb3b8e717d2,0,5.87,0,8.47,2,9212.401787,1058.149464,1000.5,0.1,666.999528,5,2001,0.001414909
0x3595a3a8F191Ce36b1Be47Df82e98Ef358Aed3198fdc409Bc316D8,0,158.02,0,326.03,1,101,101,101,2.16,50.499508,3,101,0.000984218
0x8feb510ef460d6ad3708f6ff0ae3c52f2a3e5ceeaa68,0,22.26,0,612.75,1,101,101,101,0.075009,33.666149,4,101,0.001554
0x76ad21b4b56ed496095b050ee06aeaa864d39371c3b0e,0,14913,0,880.65,1,101,101,101,0.71308,50.499508,3,101,0.000984218
0x17ef7c11a1bbd3db4cf35627b1e2c952eff4805ac9,0,156.98,0,331.17,1,101,101,101,0.055,50.499508,3,101,0.000984218
0x320b929b0f0101c50cccbdfd4c6e45b5ae5c913938f8a111,0,3.54,16013.31,23018.47,2,0.050012,0,0,0,0.0038802,8,0.032,0.001598
0x8f724f4d09708ab8e6a32f79e6153a0a692fe56abeccd,0,163.09,0.82,329.78,2,19.831567,93.9666524,50.5,5.084,50.499487,4,101,0.001026218
0xa00401a1aa82dc64a92d3b99fb16f3642391a74a,0,22.27,0,66.78,1,101,101,101,8,33.666149,4,101,0.001554
0xc9ba993b6331bd0906455b1882042b36a689f72e8e4,0,21.36,0,64.08,1,101,101,101,0.03,33.666149,4,101,0.001554
0x9a2f95ea23a4822107ebc62e79efb367203cb16b,0,16.24,0,67.87,1,101,101,101,0.02,33.666149,4,101,0.001554
0xa639a0d022060a13e0b112dd56225ed979f5a39f6,0,1.7,0,3.62,2,185.1903208,1578.491471,1000.5,0.001078,500.249528,6,2001,0.001886545
0xdb14b377fd48f310da7eaef58ab45f966321f2f6,0,2891.97,11694.31,141462,5,7.77,100,100,0,0.1172852,52,4000,104
0xc49db1b384d09c75f86c089ec47c09337cb6050b9ed3ccfc64d3,0,23.13,0,59.38,1,101,101,101,0.6,33.666149,4,101,0.001554
0x14e9881c1bbffa39501f0709ad2f54d45f402d04ba75d1064d25d,0,165.23,0,311.92,1,101,101,101,7.464437,33.666179,4,101,0.001464437
0x02ae92f1dca2f1e2198af9355be7b05b04fe59ab34180c1e90bc,0,160.53,0,311.45,1,101,101,101,0.425909,50.499508,3,101,0.000984218
0x61bce9630ae48200ddb3dd787338d8e69d0c814ff97dce2547b3f09b5a074140,0,162.12,0,321.82,1,101,101,101,1057.577,50.499508,3,101,0.000984218
0x3e673671c0276d41db501c0377c388dda847fad09,0,23.24,0.33,322.57,2,24.322974,84.34687,50.5,1.940553,33.666149,5,101,0.001554
0x0c8aaed87f80962b7a8b56f90a77f348d5b1fd4,0,44806.09,111045.29,553557.72,2,0.01,0.07161166,0.089521,0,0.4772141,15,0.42959714,0.004527561
0x047f4918346cd34007acebd593e696c1b3fd6fbaa8,0,15.04,54436.59,269382.25,49,0,110,46.668186,0,0.190845,44,1040.780241,-216.298424
0xa5e532bd2618b71f1eb5bf760d3a0b9933ebf1ec10,0,268.4,12972.18,240418.75,8,0.0002,1.808148,0.3933759,0,0.06119972,34,58.0063746,0.071026037
0x8d71e89ca2b606a4ae9907635af23707e83ede6894b,0,162.09,0.84,317.83,4,11.18072,69.759559,50.5,0.048223,50.499508,5,101,0.000984218
0xaccb6a5739903efc62b24ee7f348d2d4d8759e44a0f2,0,4.91,0,6.32,2,940.350608,84.018396,50.5,0.001,33.666165,5,101,0.001506437
0x8eb2b009dc7fcba6841a52170403f0c3bfec39700,0,161.55,0.33,323.38,2,9.00740548,63.692205,50.5,2.084104,50.499508,4,101,0.000984218
0x999e97f385e5dc18cf8864a63a9d1e6a863e43059bf710cf5,0,161.78,0.33,325.1,2,69.995,51.338186,50.5,4,50.499487,4,101,0.001026218
0x98ea77ada183e1b8ea5075f50a15014ec5c032a5bf,0,159.68,0,312.37,1,101,101,101,0.0005,50.499508,3,101,0.000984218
0xaa9ee70f5f4e13f54d65c06d6e0fd0d37f6c75e49,0,24.33,0,8.98,2,512.315049,2163.777982,1000.5,0.5,666.999528,5,2001,0.001414909
0xff86b47859dfe8bd08574844e2bf54720bd9d332,0,423.71,115135.31,158080.65,2,0.19,216,7.61027311,0.003711,3.416201,16,30.1710359,0.022104326
0xadaaa7de5fa9d59f5bdfa89ad65be1629ad3f2ed4f26b9,0,1772.6,640.43334,97055.03,4,0.03614,10.1,3.966667,0,1.390069,52,43.1580549,0.0250033
0xc41ce506e2baa05b002cdf8c60847c081cc0f963e3bd78ce8ff,0,159.63,0.5,320.3,2,17.024409,85.9654013,50.5,0.01,50.499508,4,101,0.000984218
0x49f81ecdf1ca087b24aaa5ff0ba702ee928ca9232d62ac280c3deecbdc,0,5.87,0,18.33,2,411.662929,1475.338491,1000.5,0.05,666.99939,5,2001,0.001830667
0xbfe2b46260faa620cba27a309d97796cbf0c41e,0,105.73,0,312.75,2,12.00102,87.71243,50.5,0.009408,33.666163,5,101,0.001512
0x1d4662a1d092c48a552f35efa84106ffad0ace4abc25,0,86707.76,0,49578.88,1,0.607,0.517,0.007429,0,0.0002686,7,0.00246512,0.01180118
0x6a8608ac20e3d57f5aef1b90bc1f7c77e846138847,0,376.07,12914.81,45460.68,3,0.001659,4.0199068,0.827012,0,0.182013,107,17.91260069,0.011082241
0x1fdcd5e584fa294161b20c0872e04ced3aada1e0f,0,24.3,62017.9,311200.83,18,0.11,87.800001,0.2410704,0.00691,2.907259,2412,304.7180243,1.11055618
0x9ff53f24eb40da022d6796605b56e0ec33743ce1a9914,0,4256.59,29737.65,250560.95,4,0.041053,6,0.626053,0,2.1894559,13,566.776826,2620.480131
0x7a25dc5577bad34c8677dedd30e6757f24a1d76d6,0,19.61,0,10.87,2,371.912067,1875.470402,1000.5,1.3,666.999528,5,2001,0.001414909
0xb54c4ddC83121F952adF870503382eA65Fa80a00,0,14.97,288746.54,268798.68,16,0.010459,114,3.065096,0,0.318626,6446,375.988369,0.02994962
0x1f8e1f834a7c847ea956c0dbf8c7a28795ad5779c5,0,24.95,1803.78,257209.55,2,0.008626,0.0264045,0.039590847,0,0,7,117.0483,0.015864
0x49c2f54e0e3d7850e7237c6c17d3c3f997fa735ad,0,265.42,9355.44,180200.14,2,1,0.9511,0.003462,1.619631,2.349528,4,3.53370667,0.0058748
